username,name,affiliation,title,url,image
armenter,Roc Armenter,FRB Philadelphia,Executive Vice President,https://rocarm.github.io/,/assets/images/team/armenter.jpg
barany,Zsófia Bárány,CEU,Associate Professor,https://sites.google.com/site/zsofiabarany/,https://lh3.googleusercontent.com/cihKvy5FuSjTSbFHkg0n7ig8-VvjSwNJAHP1RpNKxaiGWbVzfSDBIX7T97DG7LQ6CZQh6IGyyO9-GGbBvPRGi1Dh9pU_BLf9qI5dugZgXzC16B1i=w1280
bekes,Gábor Békés,CEU,Professor,https://sites.google.com/site/bekesg/,https://lh5.googleusercontent.com/z0brvxeFlJ-UmldMSgVavPxYY4L-0bdgOmyK-DE9OX-bqo_AmaRIhxdrrCyw4gW73Y_JDsvkexe3J4xLBVRo5ImFjtbjKaWT2rq4ZZe8Vlj-Q24ZnNoNZn4WBHnfme-40g=w1280
bisztray,Márta Bisztray,Research Fellow,Academic Title,https://bisztraymarta.wixsite.com/research,/assets/images/team/bisztray.jpg
bogel,György Bőgel,,,https://njszt.hu/hu/user/bogel-gyorgy,/assets/images/team/bogel.jpg
caselli,Francesco Caselli,LSE,Professor,https://www.lse.ac.uk/economics/people/faculty/francesco-caselli,/assets/images/team/caselli.jpg
chariag,Ramzi Chariag,CEU,PhD Candidate,https://economics.ceu.edu/people/ramzi-chariag,https://economics.ceu.edu/sites/economics.ceu.edu/files/styles/panopoly_image_full/public/profilephd/portrait/1833/dsc0001.jpeg?itok=Xu8ErO3r
connolly,Marie Connolly,ESG UQAM,Full Professor,https://www.connolly.uqam.ca/index_en.html,/assets/images/team/connolly.jpg
csillag,Márton Csillag,Budapest Institute,Senior Researcher,https://budapestinstitute.eu/index.php/about_us/datasheet2/csillag_marton/en,/assets/images/team/csillag.jpg
depirro,Amanda de Pirro,Università della Svizzera Italiana,Postdoctoral Fellow,https://sites.google.com/view/amandadepirro,/assets/images/team/depirro.jpg
halpern,László Halpern,HUN-REN KRTK KTI,Retired Scientific Advisor,https://kti.krtk.hu/en/researchers/laszlo-halpern/,/assets/images/team/halpern.jpg
hinz,Julian Hinz,Bielefeld University and IfW Kiel,Professor,https://julianhinz.com/,/assets/images/team/hinz.jpg
hornok,Cecília Hornok,Kiel Institute,Postdoctoral Researcher,https://www.ifw-kiel.de/experts/cecilia-hornok/,/assets/images/team/hornok.jpg
karadi,Péter Karádi,ECB,Senior Lead Economist,https://sites.google.com/site/pkaradi696/,https://lh5.googleusercontent.com/npFMB1JVBI6--yFIUXns2ACJ165i_9MEO5mpg1XXpwHQQD1slPJbaGT1K1kl0CmrHBCLttfxSaRdD5YrIR3sDyvuxzbul1KcHSB5ZuhHB5rpQZ7isF2B7KK2wkCsH1udWQ=w1280
kissg,Gergely Attila Kiss,HUN-REN KRTK KTI,Junior Research Fellow,,/assets/images/team/kissg.jpg
kisso,Olivér Kiss,CEU,PhD Candidate,https://kisso.codes/,https://economics.ceu.edu/sites/economics.ceu.edu/files/styles/panopoly_image_full/public/profilephd/portrait/1294/kissoliverlow198870pp.jpg?itok=a4U_CVMg
kollo,János Köllő,HUN-REN KRTK KTI,Scientific Advisor,https://kti.krtk.hu/en/researchers/kollo-janos/,/assets/images/team/kollo.jpg
